ID;Edad
165421156;27
165421157;38
165421158;27
165421159;30
165421160;36
165421161;26
165421162;33
165421163;28
165421164;33
165421165;24
165421166;25
165421167;27
165421168;35
165421169;24
165421170;27
165421171;31
165421172;26
165421173;37
165421174;25
165421175;25
165421176;25
165421177;34
165421178;31
165421179;37
165421180;36
165421181;33
165421182;37
165421183;26
165421184;34
165421185;24
165421186;31
165421187;32
165421188;30
165421189;31
165421190;36
165421191;26
165421192;38
165421193;24
165421194;36
165421195;36
165421196;38
165421197;24
165421198;29
165421199;32
165421200;37
165421201;31
165421202;37
165421203;32
165421204;28
165421205;32
165421206;32
165421207;26
165421208;24
165421209;38
165421210;35
165421211;35
165421212;34
165421213;24
165421214;28
165421215;24
165421216;27
165421217;27
165421218;26
165421219;35
165421220;34
165421221;38
165421222;32
165421223;25
165421224;32
165421225;24
165421226;25
165421227;34
165421228;26
165421229;38
165421230;24
165421231;26
165421232;37
165421233;34
165421234;26
165421235;30
165421236;30
165421237;24
165421238;34
165421239;33
165421240;37
165421241;38
165421242;26
165421243;33
165421244;28
165421245;33
165421246;34
165421247;30
165421248;35
165421249;30
165421250;36
165421251;28
165421252;25
165421253;29
165421254;30
165421255;35
165421256;24
165421257;36
165421258;29
165421259;28
165421260;35
165421261;28
165421262;35
165421263;26
165421264;35
165421265;29
165421266;34
165421267;24
165421268;36
165421269;31
165421270;33
165421271;38
165421272;35
165421273;36
165421274;28
165421275;30
165421276;26
165421277;38
165421278;29
165421279;33
165421280;26
165421281;27
165421282;24
165421283;28
165421284;38
165421285;33
165421286;25
165421287;37
165421288;35
165421289;26
165421290;30
165421291;33
165421292;24
165421293;33
165421294;27
165421295;27
165421296;35
165421297;25
165421298;35
165421299;24
165421300;37
165421301;33
165421302;36
165421303;35
165421304;24
165421305;24
165421306;37
165421307;31
165421308;28
165421309;27
165421310;32
165421311;32
165421312;36
165421313;27
165421314;28
165421315;27
165421316;34
165421317;24
165421318;29
165421319;37
165421320;34
165421321;31
165421322;36
165421323;28
165421324;30
165421325;31
165421326;34
165421327;37
165421328;31
165421329;32
165421330;35
165421331;32
165421332;34
165421333;28
165421334;27
165421335;35
165421336;33
165421337;35
165421338;34
165421339;34
165421340;29
165421341;35
165421342;29
165421343;29
165421344;31
165421345;35
165421346;38
165421347;26
165421348;30
165421349;29
165421350;25
165421351;32
165421352;32
165421353;37
165421354;29
165421355;34
165421356;33
165421357;38
165421358;31
165421359;31
165421360;35
165421361;25
165421362;33
165421363;34
165421364;24
165421365;35
165421366;32
165421367;38
165421368;32
165421369;31
165421370;32
165421371;25
165421372;36
165421373;32
165421374;34
165421375;24
165421376;27
165421377;36
165421378;28
165421379;33
165421380;31
165421381;35
165421382;26
165421383;29
165421384;36
165421385;36
165421386;30
165421387;26
165421388;34
165421389;34
165421390;36
165421391;36
165421392;25
165421393;37
165421394;28
165421395;36
165421396;36
165421397;26
165421398;34
165421399;31
165421400;34
165421401;32
165421402;38
165421403;34
165421404;30
165421405;27
165421406;32
165421407;36
165421408;26
165421409;26
165421410;34
165421411;36
165421412;31
165421413;34
165421414;26
165421415;33
165421416;34
165421417;25
165421418;28
165421419;27
165421420;29
165421421;25
165421422;37
165421423;28
165421424;37
165421425;31
165421426;30
165421427;26
165421428;35
165421429;26
165421430;32
165421431;38
165421432;25
165421433;31
165421434;30
165421435;38
165421436;25
165421437;29
165421438;31
165421439;34
165421440;37
165421441;24
165421442;26
165421443;33
165421444;29
165421445;31
165421446;38
165421447;31
165421448;37
165421449;29
165421450;26
165421451;37
165421452;29
165421453;34
165421454;30
165421455;24
165421456;33
165421457;32
165421458;30
165421459;30
165421460;27
165421461;29
165421462;30
165421463;32
165421464;35
165421465;34
165421466;30
165421467;27
165421468;34
165421469;28
165421470;30
165421471;27
165421472;38
165421473;26
165421474;25
165421475;29
165421476;24
165421477;36
165421478;25
165421479;29
165421480;36
165421481;28
165421482;25
165421483;31
165421484;26
165421485;24
165421486;26
165421487;30
165421488;25
165421489;24
165421490;26
165421491;34
165421492;30
165421493;27
165421494;29
165421495;33
165421496;35
165421497;28
165421498;38
165421499;33
165421500;31
165421501;33
165421502;32
165421503;24
165421504;27
165421505;35
165421506;38
165421507;28
165421508;38
165421509;33
165421510;33
165421511;38
165421512;26
165421513;29
165421514;35
165421515;30
165421516;25
165421517;24
165421518;28
165421519;29
165421520;35
165421521;28
165421522;31
165421523;33
165421524;35
165421525;34
165421526;33
165421527;31
165421528;32
165421529;37
165421530;27
165421531;26
165421532;36
165421533;32
165421534;28
165421535;28
165421536;36
165421537;25
165421538;29
165421539;28
165421540;32
165421541;27
165421542;33
165421543;37
165421544;29
165421545;36
165421546;25
165421547;28
165421548;25
165421549;29
165421550;29
165421551;33
165421552;29
165421553;32
165421554;29
165421555;38
165421556;25
165421557;27
165421558;37
165421559;29
165421560;35
165421561;35
165421562;24
165421563;35
165421564;31
165421565;27
165421566;28
165421567;28
165421568;32
165421569;29
165421570;27
165421571;33
165421572;34
165421573;24
165421574;27
165421575;28
165421576;30
165421577;32
165421578;27
165421579;25
165421580;28
165421581;24
165421582;29
165421583;34
165421584;28
165421585;34
165421586;34
165421587;26
165421588;28
165421589;25
165421590;31
165421591;38
165421592;36
165421593;32
165421594;27
165421595;35
165421596;30
165421597;25
165421598;25
165421599;37
165421600;28
165421601;33
165421602;36
165421603;24
165421604;30
165421605;31
165421606;34
165421607;35
165421608;30
165421609;36
165421610;29
165421611;37
165421612;28
165421613;31
165421614;25
165421615;27
165421616;37
165421617;34
165421618;35
165421619;36
165421620;33
165421621;28
165421622;34
165421623;26
165421624;34
165421625;31
165421626;30
165421627;35
165421628;38
165421629;29
165421630;33
165421631;29
165421632;37
165421633;27
165421634;31
165421635;28
165421636;33
165421637;30
165421638;31
165421639;28
165421640;25
165421641;25
165421642;34
165421643;26
165421644;31
165421645;28
165421646;34
165421647;36
165421648;34
165421649;35
165421650;24
165421651;25
165421652;35
165421653;35
165421654;28
165421655;25
165421656;28
165421657;34
165421658;33
165421659;25
165421660;24
165421661;30
165421662;34
165421663;34
165421664;29
165421665;27
165421666;32
165421667;26
165421668;30
165421669;33
165421670;35
165421671;31
165421672;31
165421673;27
165421674;29
165421675;32
165421676;37
165421677;37
165421678;33
165421679;25
165421680;24
165421681;32
165421682;37
165421683;31
165421684;24
165421685;36
165421686;38
165421687;35
165421688;35
165421689;25
165421690;34
165421691;27
165421692;26
165421693;28
165421694;36
165421695;37
165421696;37
165421697;29
165421698;34
165421699;29
165421700;28
165421701;31
165421702;30
165421703;29
165421704;29
165421705;34
165421706;33
165421707;32
165421708;33
165421709;34
165421710;24
165421711;24
165421712;24
165421713;33
165421714;32
165421715;33
165421716;36
165421717;37
165421718;32
165421719;29
165421720;29
165421721;31
165421722;31
165421723;32
165421724;37
165421725;35
165421726;30
165421727;28
165421728;25
165421729;26
165421730;38
165421731;26
165421732;33
165421733;38
165421734;34
165421735;24
165421736;31
165421737;28
165421738;29
165421739;36
165421740;29
165421741;35
165421742;29
165421743;31
165421744;35
165421745;29
165421746;31
165421747;35
165421748;25
165421749;28
165421750;31
165421751;27
165421752;34
165421753;26
165421754;27
165421755;25
165421756;29
165421757;34
165421758;37
165421759;34
165421760;26
165421761;28
165421762;32
165421763;32
165421764;32
165421765;24
165421766;26
165421767;26
165421768;38
165421769;29
165421770;27
165421771;29
165421772;25
165421773;34
165421774;26
165421775;30
165421776;31
165421777;32
165421778;38
165421779;26
165421780;36
165421781;27
165421782;26
165421783;36
165421784;33
165421785;34
165421786;27
165421787;38
165421788;37
165421789;31
165421790;30
165421791;38
165421792;31
165421793;37
165421794;33
165421795;30
165421796;24
165421797;28
165421798;36
165421799;30
165421800;30
165421801;32
165421802;30
165421803;25
165421804;27
165421805;30
165421806;28
165421807;38
165421808;25
165421809;30
165421810;26
165421811;37
165421812;35
165421813;33
165421814;37
165421815;32
165421816;26
165421817;38
165421818;26
165421819;32
165421820;35
165421821;27
165421822;30
165421823;24
165421824;29
165421825;31
165421826;35
165421827;28
165421828;30
165421829;26
165421830;38
165421831;28
165421832;33
165421833;29
165421834;24
165421835;35
165421836;29
165421837;28
165421838;27
165421839;34
165421840;24
165421841;32
165421842;36
165421843;36
165421844;33
165421845;36
165421846;31
165421847;24
165421848;37
165421849;28
165421850;25
165421851;38
165421852;31
165421853;28
165421854;33
165421855;38
165421856;32
165421857;25
165421858;32
165421859;27
165421860;25
165421861;28
165421862;32
165421863;26
165421864;34
165421865;30
165421866;27
165421867;27
165421868;27
165421869;37
165421870;31
165421871;35
165421872;33
165421873;38
165421874;31
165421875;38
165421876;33
165421877;30
165421878;37
165421879;32
165421880;31
165421881;25
165421882;34
165421883;37
165421884;33
165421885;37
165421886;31
165421887;35
165421888;28
165421889;32
165421890;25
165421891;37
165421892;27
165421893;30
165421894;26
165421895;25
165421896;38
165421897;30
165421898;30
165421899;38
165421900;32
165421901;34
165421902;29
165421903;24
165421904;34
165421905;33
165421906;36
165421907;25
165421908;32
165421909;29
165421910;38
165421911;31
165421912;31
165421913;38
165421914;38
165421915;29
165421916;37
165421917;25
165421918;37
165421919;27
165421920;32
165421921;31
165421922;36
165421923;38
165421924;26
165421925;37
165421926;25
165421927;24
165421928;35
165421929;34
165421930;32
165421931;26
165421932;25
165421933;28
165421934;38
165421935;26
165421936;26
165421937;24
165421938;27
165421939;27
165421940;30
165421941;29
165421942;35
165421943;27
165421944;26
165421945;31
165421946;33
165421947;32
165421948;24
165421949;36
165421950;30
165421951;32
165421952;25
165421953;33
165421954;27
165421955;38
165421956;33
165421957;26
165421958;38
165421959;37
165421960;33
165421961;37
165421962;33
165421963;36
165421964;29
165421965;30
165421966;27
165421967;37
165421968;33
165421969;33
165421970;28
165421971;25
165421972;32
165421973;29
165421974;38
165421975;25
165421976;31
165421977;33
165421978;26
165421979;37
165421980;24
165421981;27
165421982;31
165421983;25
165421984;25
165421985;32
165421986;33
165421987;24
165421988;37
165421989;29
165421990;33
165421991;35
165421992;30
165421993;38
165421994;25
165421995;30
165421996;37
165421997;30
165421998;30
165421999;28
165422000;37
165422001;32
165422002;38
165422003;33
165422004;24
165422005;35
165422006;31
165422007;32
165422008;31
165422009;24
165422010;37
165422011;28
165422012;35
165422013;34
165422014;32
165422015;34
165422016;35
165422017;32
165422018;31
165422019;34
165422020;33
165422021;30
165422022;28
165422023;28
165422024;34
165422025;33
165422026;31
165422027;26
165422028;38
165422029;35
165422030;34
165422031;34
165422032;28
165422033;38
165422034;37
165422035;26
165422036;36
165422037;25
165422038;29
165422039;25
165422040;34
165422041;27
165422042;33
165422043;27
165422044;31
165422045;30
165422046;25
165422047;26
165422048;33
165422049;36
165422050;29
165422051;36
165422052;25
165422053;24
165422054;34
165422055;34
165422056;35
165422057;31
165422058;26
165422059;32
165422060;28
165422061;33
165422062;29
165422063;24
165422064;34
165422065;25
165422066;34
165422067;36
165422068;35
165422069;33
165422070;29
165422071;26
165422072;36
165422073;27
165422074;29
165422075;34
165422076;26
165422077;25
165422078;35
165422079;29
165422080;32
165422081;28
165422082;28
165422083;35
165422084;27
165422085;32
165422086;35
165422087;24
165422088;36
165422089;36
165422090;33
165422091;34
165422092;25
165422093;32
165422094;25
165422095;25
165422096;31
165422097;32
165422098;36
165422099;29
165422100;27
165422101;29
165422102;28
165422103;25
165422104;33
165422105;26
165422106;34
165422107;35
165422108;36
165422109;30
165422110;37
165422111;32
165422112;31
165422113;24
165422114;30
165422115;28
165422116;35
165422117;29
165422118;38
165422119;25
165422120;31
165422121;25
165422122;27
165422123;38
165422124;36
165422125;26
165422126;31
165422127;38
165422128;32
165422129;24
165422130;27
165422131;28
165422132;33
165422133;34
165422134;27
165422135;26
165422136;25
165422137;38
165422138;28
165422139;33
165422140;24
165422141;34
165422142;36
165422143;32
165422144;38
165422145;28
165422146;27
165422147;36
165422148;31
165422149;25
165422150;28
165422151;30
165422152;38
165422153;38
165422154;26
165422155;33
165422156;35
165422157;32
165422158;31
165422159;36
165422160;36
165422161;30
165422162;34
165422163;32
165422164;35
165422165;33
165422166;25
165422167;30
165422168;25
165422169;32
165422170;38
165422171;25
165422172;28
165422173;34
165422174;32
165422175;30
165422176;24
165422177;24
165422178;24
165422179;34
165422180;36
165422181;38
165422182;36
165422183;32
165422184;28
165422185;28
165422186;32
165422187;25
165422188;29
165422189;34
165422190;24
165422191;28
165422192;33
165422193;32
165422194;31
165422195;30
165422196;31
165422197;24
165422198;31
165422199;36
165422200;32
165422201;31
165422202;25
165422203;32
165422204;34
165422205;24
165422206;31
165422207;24
165422208;28
165422209;38
165422210;37
165422211;30
165422212;27
165422213;24
165422214;26
165422215;29
165422216;29
165422217;33
165422218;29
165422219;26
165422220;25
165422221;32
165422222;38
165422223;37
165422224;37
165422225;33
165422226;29
165422227;32
165422228;33
165422229;30
165422230;36
165422231;32
165422232;28
165422233;37
165422234;27
165422235;25
165422236;33
165422237;36
165422238;26
165422239;36
165422240;36
165422241;30
165422242;32
165422243;26
165422244;29
165422245;37
165422246;24
165422247;29
165422248;31
165422249;24
165422250;32
165422251;33
165422252;24
165422253;36
165422254;27
165422255;38
165422256;34
165422257;35
165422258;35
165422259;24
165422260;26
165422261;31
165422262;37
165422263;33
165422264;38
165422265;36
165422266;34
165422267;33
165422268;27
165422269;36
165422270;35
165422271;38
165422272;25
165422273;37
165422274;37
165422275;34
165422276;26
165422277;38
165422278;27
165422279;29
165422280;26
165422281;32
165422282;26
165422283;37
165422284;38
165422285;38
165422286;27
165422287;27
165422288;25
165422289;27
165422290;27
165422291;34
165422292;38
165422293;35
165422294;26
165422295;25
165422296;37
165422297;25
165422298;24
165422299;34
165422300;33
165422301;33
165422302;29
165422303;33
165422304;35
165422305;30
165422306;33
165422307;37
165422308;37
165422309;34
165422310;25
165422311;34
165422312;28
165422313;25
165422314;35
165422315;29
165422316;28
165422317;31
165422318;26
165422319;35
165422320;34
165422321;30
165422322;31
165422323;36
165422324;25
165422325;30
165422326;36
165422327;34
165422328;37
165422329;29
165422330;27
165422331;35
165422332;24
165422333;33
165422334;26
165422335;27
165422336;33
165422337;33
165422338;37
165422339;25
165422340;38
165422341;33
165422342;24
165422343;24
165422344;30
165422345;31
165422346;32
165422347;36
165422348;32
165422349;37
165422350;31
165422351;27
165422352;25
165422353;29
165422354;28
165422355;32
165422356;32
165422357;35
165422358;28
165422359;30
165422360;32
165422361;29
165422362;33
165422363;35
165422364;30
165422365;32
165422366;33
165422367;30
165422368;33
165422369;29
165422370;34
165422371;36
165422372;31
165422373;32
165422374;30
165422375;36
165422376;32
165422377;35
165422378;33
165422379;26
165422380;37
165422381;36
165422382;35
165422383;25
165422384;27
165422385;31
165422386;38
165422387;30
165422388;28
165422389;31
165422390;38
165422391;24
165422392;26
165422393;31
165422394;24
165422395;35
165422396;25
165422397;32
165422398;30
165422399;24
165422400;38
165422401;34
165422402;31
165422403;32
165422404;38
165422405;33
165422406;34
165422407;29
165422408;28
165422409;29
165422410;33
165422411;30
165422412;35
165422413;36
165422414;26
165422415;36
165422416;27
165422417;38
165422418;28
165422419;30
165422420;35
165422421;30
165422422;24
165422423;37
165422424;31
165422425;33
165422426;32
165422427;27
165422428;31
165422429;24
165422430;36
165422431;31
165422432;36
165422433;27
165422434;36
165422435;32
165422436;35
165422437;31
165422438;34
165422439;25
165422440;28
165422441;28
165422442;29
165422443;34
165422444;35
165422445;32
165422446;34
165422447;37
165422448;27
165422449;30
165422450;33
165422451;25
165422452;27
165422453;29
165422454;29
165422455;26
165422456;32
165422457;25
165422458;24
165422459;32
165422460;24
165422461;38
165422462;32
165422463;24
165422464;30
165422465;24
165422466;25
165422467;24
165422468;25
165422469;24
165422470;33
165422471;32
165422472;35
165422473;33
165422474;27
165422475;38
165422476;28
165422477;36
165422478;36
165422479;36
165422480;24
165422481;24
165422482;29
165422483;35
165422484;35
165422485;27
165422486;35
165422487;35
165422488;36
165422489;24
165422490;27
165422491;29
165422492;33
165422493;26
165422494;27
165422495;25
165422496;33
165422497;33
165422498;28
165422499;24
165422500;31
165422501;24
165422502;35
165422503;31
165422504;35
165422505;26
165422506;37
165422507;35
165422508;26
165422509;32
165422510;37
165422511;32
165422512;24
165422513;37
165422514;27
165422515;24
165422516;35
165422517;30
165422518;38
165422519;29
165422520;31
165422521;31
165422522;30
165422523;38
165422524;34
165422525;37
165422526;33
165422527;37
165422528;26
165422529;24
165422530;33
165422531;31
165422532;34
165422533;26
165422534;37
165422535;29
165422536;31
165422537;27
165422538;36
165422539;34
165422540;36
165422541;30
165422542;30
165422543;35
165422544;27
165422545;27
165422546;24
165422547;35
165422548;36
165422549;32
165422550;27
165422551;31
165422552;28
165422553;27
165422554;30
165422555;35
165422556;31
165422557;36
165422558;35
165422559;28
165422560;29
165422561;30
165422562;25
165422563;35
165422564;30
165422565;35
165422566;30
165422567;34
165422568;31
165422569;24
165422570;33
165422571;26
165422572;37
165422573;38
165422574;24
165422575;27
165422576;33
165422577;35
165422578;30
165422579;28
165422580;35
165422581;32
165422582;30
165422583;27
165422584;28
165422585;28
165422586;24
165422587;34
165422588;29
165422589;34
165422590;33
165422591;33
165422592;29
165422593;26
165422594;37
165422595;35
165422596;32
165422597;31
165422598;24
165422599;33
165422600;30
165422601;32
165422602;25
165422603;25
165422604;36
165422605;24
165422606;32
165422607;24
165422608;30
165422609;30
165422610;25
165422611;27
165422612;37
165422613;38
165422614;25
165422615;32
165422616;29
165422617;24
165422618;32
165422619;32
165422620;35
165422621;32
165422622;37
165422623;33
165422624;29
165422625;31
165422626;34
165422627;27
165422628;34
165422629;31
165422630;32
165422631;25
165422632;38
165422633;24
165422634;32
165422635;27
165422636;24
165422637;31
165422638;27
165422639;32
165422640;37
165422641;26
165422642;37
165422643;34
165422644;34
165422645;31
165422646;30
165422647;24
165422648;27
165422649;31
165422650;28
165422651;26
165422652;35
165422653;36
165422654;25
165422655;24
165422656;36
165422657;26
165422658;38
165422659;28
165422660;31
165422661;31
165422662;38
165422663;35
165422664;29
165422665;26
165422666;28
165422667;35
165422668;37
165422669;31
165422670;36
165422671;31
165422672;32
165422673;32
165422674;30
165422675;31
165422676;38
165422677;24
165422678;29
165422679;28
165422680;27
165422681;30
165422682;28
165422683;33
165422684;30
165422685;30
165422686;36
165422687;35
165422688;27
165422689;37
165422690;24
165422691;34
165422692;29
165422693;26
165422694;24
165422695;37
165422696;36
165422697;25
165422698;38
165422699;27
165422700;25
165422701;29
165422702;25
165422703;24
165422704;30
165422705;31
165422706;35
165422707;37
165422708;31
165422709;28
165422710;31
165422711;27
165422712;25
165422713;34
165422714;26
165422715;28
165422716;35
165422717;29
165422718;29
165422719;26
165422720;24
165422721;30
165422722;26
165422723;33
165422724;29
165422725;27
165422726;24
165422727;28
165422728;30
165422729;32
165422730;38
165422731;25
165422732;26
165422733;35
165422734;32
165422735;28
165422736;25
165422737;34
165422738;37
165422739;37
165422740;28
165422741;26
165422742;33
165422743;26
165422744;27
165422745;33
165422746;31
165422747;34
165422748;26
165422749;30
165422750;26
165422751;36
165422752;36
165422753;27
165422754;35
165422755;35
165422756;24
165422757;27
165422758;31
165422759;35
165422760;29
165422761;37
165422762;37
165422763;30
165422764;28
165422765;36
165422766;26
165422767;24
165422768;30
165422769;34
165422770;26
165422771;34
165422772;28
165422773;27
165422774;35
165422775;32
165422776;28
165422777;29
165422778;26
165422779;26
165422780;32
165422781;31
165422782;37
165422783;30
165422784;38
165422785;32
165422786;34
165422787;31
165422788;29
165422789;38
165422790;38
165422791;27
165422792;27
165422793;24
165422794;28
165422795;31
165422796;27
165422797;33
165422798;30
165422799;24
165422800;36
165422801;26
165422802;24
165422803;32
165422804;28
165422805;37
165422806;34
165422807;37
165422808;32
165422809;31
165422810;31
165422811;35
165422812;29
165422813;28
165422814;33
165422815;31
165422816;31
165422817;26
165422818;27
165422819;27
165422820;24
165422821;32
165422822;27
165422823;32
165422824;28
165422825;34
165422826;32
165422827;29
165422828;31
165422829;31
165422830;32
165422831;33
165422832;36
165422833;27
165422834;36
165422835;25
165422836;36
165422837;33
165422838;38
165422839;25
165422840;32
165422841;27
165422842;28
165422843;26
165422844;32
165422845;38
165422846;32
165422847;26
165422848;25
165422849;26
165422850;26
165422851;28
165422852;26
165422853;26
165422854;35
165422855;30
165422856;33
165422857;33
165422858;32
165422859;26
165422860;31
165422861;36
165422862;32
165422863;35
165422864;29
165422865;29
165422866;28
165422867;26
165422868;30
165422869;33
165422870;32
165422871;26
165422872;38
165422873;32
165422874;35
165422875;31
165422876;33
165422877;38
165422878;33
165422879;28
165422880;31
165422881;36
165422882;35
165422883;28
165422884;36
165422885;33
165422886;32
165422887;25
165422888;29
165422889;35
165422890;26
165422891;30
165422892;24
165422893;25
165422894;26
165422895;37
165422896;26
165422897;36
165422898;28
165422899;33
165422900;37
165422901;27
165422902;37
165422903;27
